name,organ_system,key_gene_or_marker,aliases,potential_causes,cause_established,source
Infant-type hemispheric glioma,Central nervous system,NTRK1,IHG,"Sporadic infant glioma with no established cause; the recurrent receptor tyrosine kinase fusions (ALK, ROS1, NTRK, MET) are somatic drivers rather than inherited or environmental causes.",no,WHO CNS5 (2021)
Myxoid glioneuronal tumor,Central nervous system,PDGFRA,MGNT,Rare sporadic tumor with no established cause; the defining PDGFRA dinucleotide mutation is a somatic event rather than an inherited or environmental cause.,no,WHO CNS5 (2021)
Myxopapillary ependymoma,Central nervous system,,MPE,Sporadic tumor of the filum terminale/conus with no established cause and no recognized hereditary or environmental risk factor.,no,WHO CNS5 (2021)
"Oligodendroglioma, isocitrate dehydrogenase-mutant and 1p/19q-codeleted",Central nervous system,IDH1,"Oligodendroglioma, IDH-mutant and 1p/19q-codeleted; Anaplastic oligodendroglioma","Sporadic with no established cause; IDH mutation and 1p/19q codeletion are somatic defining events, not inherited causes. Prior therapeutic ionizing radiation is a recognized risk factor for gliomas in general.",no,WHO CNS5 (2021)
Papillary craniopharyngioma,Central nervous system,BRAF,PCP,Sporadic tumor of adults with no established cause; the defining somatic BRAF V600E mutation is a driver rather than an inherited or environmental cause.,no,WHO CNS5 (2021)
Papillary glioneuronal tumor,Central nervous system,PRKCA,PGNT,"Rare sporadic glioneuronal tumor with no established cause; the defining PRKCA fusion (typically SLC44A1-PRKCA) is a somatic driver, not a heritable or environmental cause.",no,WHO CNS5 (2021)
Papillary tumor of the pineal region,Central nervous system,,PTPR,Rare sporadic tumor of the pineal region with no established cause and no recognized hereditary or environmental risk factor.,no,WHO CNS5 (2021)
Pilocytic astrocytoma,Central nervous system,BRAF,Juvenile pilocytic astrocytoma; Pilomyxoid astrocytoma,"Most are sporadic with no known cause, but neurofibromatosis type 1 (germline NF1 mutation) strongly predisposes to pilocytic astrocytoma, particularly optic pathway glioma, in which roughly 15 to 20 percent of children with NF1 develop an optic pathway tumor.",yes,
Pineal parenchymal tumor of intermediate differentiation,Central nervous system,,PPTID,Rare sporadic pineal tumor with no established cause and no recognized hereditary or environmental risk factor.,no,WHO CNS5 (2021)
Pleomorphic xanthoastrocytoma,Central nervous system,BRAF,PXA; Anaplastic pleomorphic xanthoastrocytoma,"Sporadic tumor with no established cause; the frequent BRAF V600E mutation and CDKN2A/B loss are somatic events, not heritable or environmental causes.",no,WHO CNS5 (2021)
"Posterior fossa ependymoma, group PFA",Central nervous system,,PFA ependymoma; Posterior fossa group A ependymoma,"Sporadic infant and childhood ependymoma with no established cause; it is defined by a CpG island hypermethylation and EZHIP overexpression epigenetic phenotype (a somatic feature), not by an inherited or environmental cause.",no,WHO CNS5 (2021)
"Posterior fossa ependymoma, group PFB",Central nervous system,,PFB ependymoma; Posterior fossa group B ependymoma,Sporadic posterior fossa ependymoma of older children and adults with no established cause; it is defined by its methylation and cytogenetic profile rather than a heritable or environmental cause.,no,WHO CNS5 (2021)
Primary diffuse large B-cell lymphoma of the central nervous system,Central nervous system,MYD88,Primary CNS lymphoma; PCNSL; Primary diffuse large B-cell lymphoma of the CNS,"In immunodeficient patients (HIV/AIDS, transplant recipients, congenital immunodeficiency) it is caused by Epstein-Barr virus driven B-cell proliferation in the setting of immunosuppression; in immunocompetent patients it is largely sporadic with no established cause.",yes,WHO CNS5 (2021)
Rosette-forming glioneuronal tumor,Central nervous system,FGFR1,RGNT,"Rare sporadic tumor, typically of the fourth ventricle, with no established cause; recurrent FGFR1 and PIK3CA/NF1 alterations are somatic events rather than inherited or environmental causes.",no,WHO CNS5 (2021)
Solitary fibrous tumor of the central nervous system,Central nervous system,STAT6,Hemangiopericytoma; CNS solitary fibrous tumor,Sporadic mesenchymal tumor with no established cause; the defining NAB2-STAT6 fusion is a somatic driver rather than an inherited or environmental cause.,no,WHO CNS5 (2021)
"Spinal ependymoma, MYCN-amplified",Central nervous system,MYCN,SP-EPN-MYCN,"Rare aggressive spinal ependymoma with no established cause; the defining MYCN amplification is a somatic driver, not an inherited or environmental cause.",no,WHO CNS5 (2021)
Subependymal giant cell astrocytoma,Central nervous system,TSC1,SEGA,"Occurs almost exclusively in tuberous sclerosis complex, an autosomal dominant disorder from germline TSC1 or TSC2 mutation, with biallelic TSC inactivation driving the tumor; it is therefore a syndrome-defining lesion rather than a sporadic tumor.",yes,WHO CNS5 (2021)
Subependymoma,Central nervous system,,,"Benign, often incidental sporadic tumor with no established cause and no recognized hereditary or environmental risk factor.",no,WHO CNS5 (2021)
"Supratentorial ependymoma, YAP1 fusion-positive",Central nervous system,YAP1,ST-EPN YAP1 fusion-positive,"Sporadic ependymoma of young children with no established cause; the defining YAP1 fusion is a somatic driver, not a heritable or environmental cause.",no,WHO CNS5 (2021)
"Supratentorial ependymoma, ZFTA fusion-positive",Central nervous system,ZFTA,ST-EPN ZFTA fusion-positive; RELA fusion-positive ependymoma,"Sporadic ependymoma with no established cause; the defining ZFTA (formerly C11orf95) fusion, most often with RELA, is a somatic driver rather than an inherited or environmental cause.",no,WHO CNS5 (2021)
Acute promyelocytic leukemia with PML-RARA fusion,Hematologic,PML::RARA,APL; acute promyelocytic leukaemia,"Most cases are sporadic with no established cause; the PML::RARA fusion is a somatic event. A recognized subset is therapy-related, caused by prior treatment with topoisomerase II inhibitors (anthracyclines, mitoxantrone, etoposide) or alkylating agents.",no,WHO-HAEM5 2022
Adult T-cell leukemia/lymphoma,Hematologic,Human T-cell lymphotropic virus type 1,ATLL; adult T-cell leukaemia/lymphoma,"Caused by chronic infection with human T-cell lymphotropic virus type 1 (HTLV-1), typically acquired in infancy through breastfeeding; HTLV-1 is regarded as the sole cause, with disease arising decades later in about 5 percent of carriers. It is endemic in Japan, the Caribbean, sub-Saharan Africa, and parts of South America.",yes,WHO-HAEM5 2022
Aggressive NK-cell leukemia,Hematologic,Epstein-Barr virus,ANKL,"Strongly associated with Epstein-Barr virus, which is detected in nearly all cases, particularly in East Asian populations; EBV is regarded as central to its pathogenesis.",yes,WHO-HAEM5 2022
Aggressive systemic mastocytosis,Hematologic,KIT D816V,ASM,"Cause is not established; it is driven by an acquired KIT D816V mutation, usually with additional myeloid mutations (SRSF2, ASXL1, RUNX1). These are somatic events, not external causes.",no,WHO-HAEM5 2022
ALK-positive histiocytosis,Hematologic,KIF5B::ALK,ALK-positive histiocytosis,"Cause is not an external exposure; it is defined by acquired ALK rearrangements (usually KIF5B::ALK), a somatic driver. No infectious, environmental, or hereditary cause is established.",no,WHO-HAEM5 2022
"Anaplastic large cell lymphoma, ALK-negative",Hematologic,DUSP22,ALK-negative ALCL; ALK- anaplastic large cell lymphoma,"Cause is not established; it is a systemic T-cell lymphoma defined by acquired lesions (e.g., DUSP22 or TP63 rearrangements) with no confirmed external cause. It is distinct from the breast implant-associated form.",no,WHO-HAEM5 2022
"Anaplastic large cell lymphoma, ALK-positive",Hematologic,ALK,ALK-positive ALCL; ALK+ anaplastic large cell lymphoma,"Cause is not established; it is defined by an acquired ALK rearrangement (usually NPM1::ALK), a somatic driver rather than an external cause. No confirmed infectious or environmental cause.",no,WHO-HAEM5 2022
Atypical chronic myeloid leukemia,Hematologic,SETBP1,aCML; MDS/MPN with neutrophilia,"Cause is generally not established; it is a BCR::ABL1-negative myelodysplastic/myeloproliferative neoplasm driven by acquired mutations (SETBP1, ETNK1, ASXL1). A subset may relate to prior cytotoxic therapy or benzene exposure, but most cases are idiopathic.",no,WHO-HAEM5 2022
B-prolymphocytic leukemia,Hematologic,,B-PLL; splenic B-cell lymphoma,"Cause is not established; this rare B-cell leukemia (now largely reclassified within other entities) is idiopathic with no confirmed infectious, environmental, or hereditary cause.",no,WHO-HAEM5 2022
Blastic plasmacytoid dendritic cell neoplasm,Hematologic,CD123,BPDCN,"No established environmental, infectious, or hereditary cause; occurs mainly in older adults and is defined by recurrent deletions (RB1, CDKN2A, TP53). A minority arise after immunosuppression or alongside other myeloid neoplasms.",no,
Bone marrow mastocytosis,Hematologic,KIT D816V,BMM,"Cause is not established; it is a clonal mast cell disorder driven by an acquired KIT D816V mutation. This somatic driver is not an external cause, and no environmental etiology is confirmed.",no,WHO-HAEM5 2022
Breast implant-associated anaplastic large cell lymphoma,Hematologic,JAK1,BIA-ALCL,Caused by textured-surface breast implants placed for reconstruction or cosmesis; an epidemiologic causal relationship is established and the leading mechanism is chronic inflammation from bacterial biofilm on the textured shell in predisposed individuals. Smooth implants are not implicated.,yes,WHO-HAEM5 2022
Burkitt lymphoma,Hematologic,MYC,BL,The endemic (African) form is caused by Epstein-Barr virus with holoendemic Plasmodium falciparum malaria as a cofactor; the immunodeficiency-associated form is linked to HIV infection. The sporadic form has no established cause and is EBV-positive in only a minority.,yes,
Chronic eosinophilic leukemia,Hematologic,FIP1L1-PDGFRA,"CEL; chronic eosinophilic leukaemia, not otherwise specified","Cause is not established; it is a clonal myeloid proliferation defined by acquired genetic lesions, distinct from the tyrosine kinase fusion driven myeloid neoplasms. No external etiologic factor is proven.",no,
Chronic myeloid leukemia in blast phase,Hematologic,BCR::ABL1,CML blast phase; CML-BP,"Cause is not established; it represents progression of chronic myeloid leukemia, which is defined by the acquired BCR::ABL1 fusion (Philadelphia chromosome). High-dose ionizing radiation is the only proven environmental risk factor for the underlying CML; the fusion itself is a somatic event.",no,WHO-HAEM5 2022
Chronic myelomonocytic leukemia,Hematologic,TET2,CMML,"Most cases are sporadic with no identified cause; established myeloid leukemia risk factors (benzene exposure, cigarette smoking, prior cytotoxic chemotherapy or radiation) contribute to a subset, and it is a clonal disorder of older adults driven by acquired mutations such as TET2, SRSF2, and ASXL1.",no,
Chronic neutrophilic leukemia,Hematologic,CSF3R T618I,CNL,"Cause is not established; it is a rare myeloproliferative neoplasm driven in most cases by acquired activating CSF3R mutations (T618I), a somatic event rather than an external cause.",no,WHO-HAEM5 2022
Early T-cell precursor lymphoblastic leukemia/lymphoma,Hematologic,,ETP-ALL; early T-cell precursor ALL,"Cause is not established; this immature T-lineage subtype is defined by a distinctive immunophenotype and acquired mutations (FLT3, RAS pathway, DNMT3A). No confirmed external cause.",no,WHO-HAEM5 2022
Enteropathy-associated T-cell lymphoma,Hematologic,JAK1,EATL,"Caused by celiac disease, arising from aberrant intraepithelial T lymphocytes in patients with (often refractory) gluten-sensitive enteropathy. Poor adherence to a gluten-free diet, HLA-DQ2 homozygosity, and late celiac diagnosis are recognized risk factors.",yes,WHO-HAEM5 2022
Erdheim-Chester disease,Hematologic,BRAF,ECD,"Cause is not an external exposure; it is a clonal histiocytic neoplasm driven by somatic MAPK/ERK pathway mutations, most often BRAF V600E. No infectious, environmental, or hereditary cause is established.",no,
Essential thrombocythemia,Hematologic,JAK2,ET; essential thrombocythaemia,"Cause is not established; it is a clonal myeloproliferative neoplasm driven by acquired JAK2, CALR, or MPL mutations. These are somatic events, not external causes.",no,
"Extranodal NK/T-cell lymphoma, nasal type",Hematologic,Epstein-Barr virus,ENKTL; extranodal NK/T-cell lymphoma,Caused by Epstein-Barr virus infection of the neoplastic NK or T cells in genetically susceptible individuals; EBV is present in essentially all cases and is central to pathogenesis. It is most common in East Asian and Latin American populations.,yes,WHO-HAEM5 2022
Extraosseous plasmacytoma,Hematologic,,extramedullary plasmacytoma,"Cause is not established; this localized extramedullary clonal plasma cell tumor, most often in the upper aerodigestive tract, is idiopathic with no confirmed external cause.",no,WHO-HAEM5 2022
Follicular dendritic cell sarcoma,Hematologic,,FDCS,"Cause is generally not established; most are sporadic. A distinct subset, the inflammatory pseudotumor-like variant arising in liver and spleen, is caused by Epstein-Barr virus.",yes,
Hairy cell leukemia,Hematologic,BRAF,HCL,"Cause is not established; the near-universal BRAF V600E mutation is a somatic driver, not an external etiology. Some studies report weak associations with prior farming, pesticide, or radiation exposure, but no risk factor is confirmed.",no,
Hepatosplenic T cell lymphoma,Hematologic,STAT5B,HSTL,"Most cases arise de novo without an identified cause, but roughly 20 percent occur in the setting of chronic immunosuppression or immune dysregulation, notably long-term thiopurine and anti-TNF therapy for inflammatory bowel disease and prior solid organ transplantation.",yes,
Histiocytic sarcoma,Hematologic,MAP2K1,HS,"Cause is generally not established; it is a rare malignant histiocytic neoplasm often driven by MAPK pathway mutations. A subset is transdifferentiated (clonally related) from a preceding B-cell lymphoma/leukemia or from germ cell tumors, but no external cause is confirmed.",no,WHO-HAEM5 2022
Idiopathic multicentric Castleman disease,Hematologic,interleukin 6,iMCD; multicentric Castleman disease,"Cause is not established (hence idiopathic); it is an HHV-8-negative systemic inflammatory disorder driven by an unexplained cytokine storm, typically interleukin-6. The source of the hypercytokinemia and any triggering factor remain unknown.",no,WHO-HAEM5 2022
Immunoglobulin light chain amyloidosis,Hematologic,,AL amyloidosis; primary amyloidosis,"Cause is not established; it results from a clonal plasma cell (or, less often, B-cell) proliferation producing misfolded free light chains that deposit as amyloid. The underlying clone is driven by acquired lesions; no external cause is confirmed.",no,WHO-HAEM5 2022
Indolent systemic mastocytosis,Hematologic,KIT D816V,ISM,"Cause is not established; about 95 percent are driven by an acquired KIT D816V gain-of-function mutation, a somatic event, not an external exposure. Rare familial forms exist but the vast majority are sporadic.",no,WHO-HAEM5 2022
Indolent T-cell lymphoma of the gastrointestinal tract,Hematologic,JAK2,indolent clonal T-cell lymphoproliferative disorder of the gastrointestinal tract,"Cause is not established; this indolent clonal T-cell lymphoproliferative disorder of the gut is idiopathic, sometimes with chronic mucosal inflammation, and is driven by acquired lesions (e.g., STAT3::JAK2 fusion, JAK/STAT pathway mutations). No confirmed external cause.",no,WHO-HAEM5 2022
Interdigitating dendritic cell sarcoma,Hematologic,,IDCS,"Cause is generally not established; this rare dendritic cell neoplasm is idiopathic. A minority are clonally related to a preceding low-grade B-cell lymphoma (transdifferentiation), but no external cause is confirmed.",no,WHO-HAEM5 2022
Intravascular large B-cell lymphoma,Hematologic,MYD88 L265P,IVLBCL,"Cause is not established; this rare large B-cell lymphoma growing within blood vessels is idiopathic, driven by acquired lesions (frequent MYD88 and CD79B mutations). No confirmed infectious or environmental cause.",no,WHO-HAEM5 2022
Juvenile myelomonocytic leukemia,Hematologic,PTPN11,JMML,"Cause is not an external exposure; it is driven by acquired or, in a subset, germline RAS pathway mutations. Children with neurofibromatosis type 1 and with Noonan syndrome (germline PTPN11) are predisposed, but there is no confirmed infectious or environmental cause.",no,WHO-HAEM5 2022
Juvenile xanthogranuloma,Hematologic,MAP2K1,JXG,"Cause is not established; this histiocytic proliferation of infants and children is usually benign and idiopathic, with a subset harboring MAPK pathway mutations. An association with neurofibromatosis type 1 and juvenile myelomonocytic leukemia is recognized in a minority.",no,WHO-HAEM5 2022
KSHV/HHV8-associated multicentric Castleman disease,Hematologic,Human herpesvirus 8,HHV8-associated multicentric Castleman disease,"Caused by uncontrolled infection with Kaposi sarcoma-associated herpesvirus (KSHV/HHV-8); it is most often diagnosed in people with HIV infection or other immunosuppression, in whom impaired control of HHV-8 drives the lymphoproliferation.",yes,WHO-HAEM5 2022
Langerhans cell histiocytosis,Hematologic,BRAF,LCH,Now recognized as a clonal neoplasm driven by somatic MAPK pathway mutations (BRAF V600E in about half of cases); these are acquired drivers not external causes. The pulmonary adult form is a distinct entity strongly caused by cigarette (and marijuana) smoking.,yes,
Langerhans cell sarcoma,Hematologic,BRAF V600E,LCS,Cause is not established; this rare high-grade Langerhans cell neoplasm is driven by MAPK pathway mutations (including BRAF V600E) and may arise de novo or from progression of Langerhans cell histiocytosis. No confirmed external cause.,no,WHO-HAEM5 2022
Mantle cell lymphoma,Hematologic,CCND1,,"Cause is not established; the defining t(11;14) CCND1 rearrangement is a somatic event. No confirmed infectious, environmental, or hereditary cause, though it is a clonal B-cell malignancy of older adults.",no,
Mast cell leukemia,Hematologic,KIT D816V,MCL,"Cause is not established; like other mastocytoses it is driven by an acquired activating KIT mutation (usually D816V), a somatic event rather than an external cause. No environmental or infectious cause is proven.",no,WHO-HAEM5 2022
Mast cell sarcoma,Hematologic,KIT,MCS,"Cause is not established; this exceedingly rare localized malignant mast cell tumor is idiopathic, with variable KIT mutation status and no confirmed external cause.",no,WHO-HAEM5 2022
Mixed phenotype acute leukemia,Hematologic,BCR::ABL1,MPAL; acute leukemia of ambiguous lineage,Most cases are sporadic with no established cause; some are therapy-related after prior cytotoxic chemotherapy or radiation. It is defined by acquired genetic lesions and lineage-ambiguous immunophenotype.,no,WHO-HAEM5 2022
Monomorphic epitheliotropic intestinal T-cell lymphoma,Hematologic,SETD2,MEITL,"Cause is not established; unlike EATL it is NOT associated with celiac disease. It arises from intestinal intraepithelial T lymphocytes, is more common in Asian and Hispanic populations, and is driven by acquired mutations (e.g., SETD2, STAT5B).",no,WHO-HAEM5 2022
Mycosis fungoides,Hematologic,,Cutaneous T cell lymphoma; MF,Cause is not established; this cutaneous T-cell lymphoma is largely idiopathic. Proposed but unproven contributors include chronic antigen stimulation and environmental or occupational exposures; no infectious agent is confirmed.,no,
Myeloid/lymphoid neoplasm with eosinophilia and ETV6::ABL1 fusion,Hematologic,ETV6::ABL1,MLN-eo with ETV6::ABL1 fusion,"Cause is not established; it is defined by an acquired ETV6::ABL1 fusion, a somatic tyrosine kinase fusion, not an external cause.",no,WHO-HAEM5 2022
Myeloid/lymphoid neoplasm with eosinophilia and FGFR1 rearrangement,Hematologic,FGFR1,MLN-eo with FGFR1 rearrangement; 8p11 myeloproliferative syndrome,"Cause is not established; it is defined by an acquired FGFR1 rearrangement, a somatic tyrosine kinase fusion, not an external cause.",no,WHO-HAEM5 2022
Myeloid/lymphoid neoplasm with eosinophilia and FLT3 rearrangement,Hematologic,FLT3,MLN-eo with FLT3 rearrangement,"Cause is not established; it is defined by an acquired FLT3 rearrangement, a somatic tyrosine kinase fusion, not an external cause.",no,WHO-HAEM5 2022
Myeloid/lymphoid neoplasm with eosinophilia and JAK2 rearrangement,Hematologic,PCM1::JAK2,MLN-eo with JAK2 rearrangement,"Cause is not established; it is defined by an acquired JAK2 rearrangement (e.g., PCM1::JAK2), a somatic fusion, not an external cause.",no,WHO-HAEM5 2022
Myeloid/lymphoid neoplasm with eosinophilia and PDGFRA rearrangement,Hematologic,FIP1L1::PDGFRA,MLN-eo with PDGFRA rearrangement,"Cause is not established; it is defined by an acquired PDGFRA rearrangement (usually the FIP1L1::PDGFRA fusion), a somatic driver rather than an external cause.",no,WHO-HAEM5 2022
Myeloid/lymphoid neoplasm with eosinophilia and PDGFRB rearrangement,Hematologic,ETV6::PDGFRB,MLN-eo with PDGFRB rearrangement,"Cause is not established; it is defined by an acquired PDGFRB rearrangement, a somatic tyrosine kinase fusion, not an external cause.",no,WHO-HAEM5 2022
NK-cell large granular lymphocytic leukemia,Hematologic,STAT3,NK-LGLL; chronic lymphoproliferative disorder of NK cells,"Cause is not established; this chronic NK-cell lymphoproliferation is idiopathic, associated with chronic immune activation and in some series with prior Epstein-Barr virus exposure, but no confirmed causal agent.",no,WHO-HAEM5 2022
"Nodal T-follicular helper cell lymphoma, angioimmunoblastic type",Hematologic,RHOA G17V,angioimmunoblastic T-cell lymphoma; AITL; nodal TFH cell lymphoma,"Cause is not established; it arises from follicular helper T cells and is driven by acquired mutations (TET2, DNMT3A, IDH2, RHOA G17V). Epstein-Barr virus positive bystander B cells are characteristically present but EBV is not the neoplastic driver.",no,WHO-HAEM5 2022
Plasma cell leukemia,Hematologic,,PCL,"Cause is not established; it is an aggressive clonal plasma cell malignancy, arising de novo or evolving from multiple myeloma, driven by acquired cytogenetic abnormalities. No confirmed external cause.",no,WHO-HAEM5 2022
Plasmablastic lymphoma,Hematologic,MYC,PBL,"Strongly associated with immunodeficiency, especially HIV/AIDS and iatrogenic immunosuppression after solid organ transplant, and Epstein-Barr virus is detected in most cases; MYC rearrangement is a frequent cofactor. The full pathogenesis remains incompletely defined.",yes,
Polycythemia vera,Hematologic,JAK2,PV; polycythaemia vera,"Cause is not established; it is a clonal myeloproliferative neoplasm caused by an acquired JAK2 mutation (V617F in most cases), which is a somatic driver rather than an external cause. No confirmed environmental etiology.",no,
Primary cutaneous CD30-positive T-cell lymphoproliferative disorder,Hematologic,DUSP22,primary cutaneous anaplastic large cell lymphoma; lymphomatoid papulosis,"Cause is not established; this spectrum (lymphomatoid papulosis and primary cutaneous anaplastic large cell lymphoma) is idiopathic. It is defined by CD30 expression and acquired lesions, with no confirmed infectious or environmental cause.",no,WHO-HAEM5 2022
Primary cutaneous CD8-positive aggressive epidermotropic cytotoxic T-cell lymphoma,Hematologic,,primary cutaneous aggressive epidermotropic CD8-positive cytotoxic T-cell lymphoma,Cause is not established; this rare aggressive cutaneous cytotoxic T-cell lymphoma is idiopathic with no confirmed external cause.,no,WHO-HAEM5 2022
"Primary cutaneous diffuse large B-cell lymphoma, leg type",Hematologic,MYD88 L265P,PCDLBCL-LT; primary cutaneous diffuse large B-cell lymphoma leg type,"Cause is not established; this aggressive cutaneous B-cell lymphoma of elderly patients is driven by acquired lesions (MYD88 L265P, BCL2/MYC) with no confirmed infectious or environmental cause.",no,WHO-HAEM5 2022
Primary cutaneous follicle center lymphoma,Hematologic,,PCFCL,"Cause is generally not established; it is an indolent cutaneous B-cell lymphoma of follicle center cells. Borrelia burgdorferi has been proposed as a cofactor in some European cases but the association is not confirmed, and most cases are idiopathic.",no,WHO-HAEM5 2022
Primary cutaneous gamma/delta T-cell lymphoma,Hematologic,,PCGD-TCL,Cause is not established; this aggressive cutaneous lymphoma of gamma/delta T cells is idiopathic with no confirmed infectious or environmental cause.,no,WHO-HAEM5 2022
Primary cutaneous marginal zone lymphoma,Hematologic,,PCMZL,"Cause is generally not established; it is an indolent cutaneous B-cell lymphoma. Chronic antigenic stimulation, including Borrelia burgdorferi infection in some European cohorts, has been implicated as a cofactor but is not confirmed, and most cases are idiopathic.",no,WHO-HAEM5 2022
Primary effusion lymphoma,Hematologic,Human herpesvirus 8,PEL,"Caused by Kaposi sarcoma-associated herpesvirus (KSHV/HHV-8), which is necessary for the disease; it occurs almost exclusively in the setting of severe immunosuppression, most often advanced HIV/AIDS, and HIV-positive cases are frequently co-infected with Epstein-Barr virus.",yes,WHO-HAEM5 2022
Primary mediastinal large B-cell lymphoma,Hematologic,CD274,PMBL; primary mediastinal B-cell lymphoma,"Cause is not established; this thymic B-cell lymphoma of young adults is driven by acquired lesions (9p24/JAK2 and PD-L1/PD-L2 amplification, NF-kB pathway alterations). No confirmed infectious or environmental cause.",no,WHO-HAEM5 2022
Primary myelofibrosis,Hematologic,JAK2,PMF,"Cause is generally not established; it is a clonal myeloproliferative neoplasm driven by acquired JAK2 V617F, CALR, or MPL mutations, which are somatic events. Ionizing radiation and benzene exposure are recognized but uncommon contributors.",no,
Rosai-Dorfman disease,Hematologic,MAP2K1,RDD; sinus histiocytosis with massive lymphadenopathy,"Cause is not established; it is regarded as idiopathic, with a subset harboring somatic MAPK pathway (KRAS, MAP2K1) mutations and rare familial forms tied to SLC29A3 mutations. No confirmed infectious or environmental cause.",no,
Sezary syndrome,Hematologic,,,Cause is not established; the leukemic erythrodermic form of cutaneous T-cell lymphoma is idiopathic with no confirmed infectious or environmental cause.,no,
Smoldering systemic mastocytosis,Hematologic,KIT D816V,SSM; smouldering systemic mastocytosis,"Cause is not established; it is a clonal mast cell disorder driven by an acquired KIT D816V mutation, a somatic driver rather than an external cause.",no,WHO-HAEM5 2022
Solitary plasmacytoma of bone,Hematologic,,solitary bone plasmacytoma,"Cause is not established; it is a localized clonal plasma cell tumor and part of the plasma cell neoplasm spectrum. No confirmed infectious, environmental, or hereditary cause.",no,WHO-HAEM5 2022
Splenic B-cell lymphoma/leukemia with prominent nucleoli,Hematologic,MAP2K1,SBLPN; hairy cell leukemia variant; HCL-variant,Cause is not established; this rare splenic small B-cell neoplasm (formerly splenic diffuse red pulp lymphoma / hairy cell leukemia variant spectrum) is idiopathic with no confirmed infectious or environmental cause.,no,WHO-HAEM5 2022
Subcutaneous panniculitis-like T-cell lymphoma,Hematologic,HAVCR2,SPTCL,"Cause is not established; it is idiopathic and frequently associated with autoimmunity. A subset arises in patients with germline HAVCR2 (TIM-3) mutations that predispose to an associated hemophagocytic syndrome, but most cases have no external cause.",no,WHO-HAEM5 2022
Systemic mastocytosis with an associated hematologic neoplasm,Hematologic,KIT D816V,SM-AHN,"Cause is not established; the mast cell clone and the accompanying myeloid neoplasm share acquired mutations (KIT D816V plus SRSF2/ASXL1/RUNX1). These are somatic drivers, not external causes.",no,WHO-HAEM5 2022
T-cell large granular lymphocytic leukemia,Hematologic,STAT3,T-LGLL; T-cell large granular lymphocytic leukaemia,"Cause is not established, but it is strongly linked to chronic immune stimulation and autoimmune disease, notably rheumatoid arthritis (overlapping with Felty syndrome), and is driven by acquired activating STAT3 mutations. No external etiologic agent is proven.",no,WHO-HAEM5 2022
T-lymphoblastic leukemia/lymphoma,Hematologic,NOTCH1,T-ALL; T-LBL,"Cause is generally not established; it is driven by acquired mutations (e.g., NOTCH1) and is a sporadic malignancy. Prior chemotherapy or radiation and inherited cancer predisposition syndromes contribute to a minority, but most cases are idiopathic.",no,WHO-HAEM5 2022
T-prolymphocytic leukemia,Hematologic,TCL1A,T-PLL,"Cause is not established; it is driven by acquired chromosome 14 inversions/translocations activating TCL1 and by ATM inactivation. Patients with the hereditary ATM-deficiency disorder ataxia-telangiectasia are predisposed, but sporadic cases have no external cause.",no,WHO-HAEM5 2022
Acute promyelocytic leukemia,Additional catalogued rare cancers,PML-RARA,APL,"Cause largely not established; defined by the t(15;17) PML::RARA fusion and usually arises de novo, though therapy-related cases occur after prior exposure to topoisomerase II inhibitor chemotherapy.",yes,
Adrenal neuroblastoma,Additional catalogued rare cancers,MYCN,,"Cause largely not established; most are sporadic embryonal tumors of neural crest origin, with a minority hereditary due to germline ALK mutations or PHOX2B mutations (the latter in congenital central hypoventilation and Hirschsprung syndrome).",yes,
Anal cancer,Additional catalogued rare cancers,HPV,Anal squamous cell carcinoma; Squamous cell carcinoma of the anus; Anal canal SCC,"Caused predominantly by persistent high-risk human papillomavirus (especially HPV-16) infection; risk is amplified by HIV infection, immunosuppression, receptive anal intercourse, and smoking. Precursor lesion is anal intraepithelial neoplasia.",yes,
Anaplastic large cell lymphoma,Additional catalogued rare cancers,ALK,ALCL,"Cause largely not established for systemic ALK-positive and ALK-negative forms; the breast implant-associated variant is a clear exception, causally linked to textured breast implants with chronic inflammation.",yes,
Angioimmunoblastic T cell lymphoma,Additional catalogued rare cancers,TET2,,"Cause not established; frequently associated with Epstein-Barr virus in the tumor microenvironment and driven by recurrent T follicular helper cell mutations (TET2, DNMT3A, RHOA, IDH2), but no confirmed etiologic cause. Largely sporadic.",no,
Appendiceal cancer,Additional catalogued rare cancers,KRAS,Appendix cancer; Appendiceal adenocarcinoma,"Cause not established; most appendiceal tumors, including mucinous neoplasms and appendiceal neuroendocrine tumors, arise sporadically with no confirmed environmental or hereditary etiology.",no,
Carcinoma of unknown primary,Additional catalogued rare cancers,,CUP,"Cause not established by definition; it is metastatic carcinoma without an identifiable primary site, so no single etiology applies, though it reflects underlying carcinomas whose own risk factors (smoking, alcohol, and others) may be relevant.",no,
Cholangiocarcinoma,Additional catalogued rare cancers,FGFR2,Bile duct cancer; Intrahepatic cholangiocarcinoma; iCCA; Intrahepatic bile duct carcinoma,"Chronic biliary inflammation is the main driver: primary sclerosing cholangitis, liver fluke infection (Opisthorchis viverrini, Clonorchis sinensis), hepatolithiasis, choledochal cysts, chronic hepatitis B or C, cirrhosis, and thorotrast exposure. Precursor lesions include biliary intraepithelial neoplasia and intraductal papillary neoplasm of the bile duct.",yes,
Chondrosarcoma,Additional catalogued rare cancers,IDH1,,"Most conventional cases are sporadic, but a subset arises from precursor cartilage lesions such as enchondromas (Ollier disease, Maffucci syndrome) and osteochondromas (hereditary multiple exostoses due to EXT1/EXT2 mutations).",yes,
